epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.044,1.45985,1.97834,1.2846,0.52837,0.54547,0.50676,0.3254,1.16419,1.51577,1.11004,0.000415412,0.000415412,0.000415412
2,197.06,1.41286,1.48801,1.27959,0.62611,0.52611,0.57545,0.34378,1.21805,1.05894,1.12919,0.000823841,0.000823841,0.000823841
3,291.57,1.40248,1.39717,1.28859,0.76171,0.44031,0.55001,0.3261,1.17504,1.27245,1.14692,0.00122402,0.00122402,0.00122402
4,384.136,1.38082,1.30446,1.28291,0.69547,0.5929,0.65739,0.44028,1.07981,1.00006,1.10059,0.00121287,0.00121287,0.00121287
5,478.469,1.33578,1.2109,1.25483,0.70611,0.57253,0.65911,0.45074,1.03866,0.92706,1.06797,0.0012005,0.0012005,0.0012005
6,571.776,1.3254,1.16586,1.25292,0.78337,0.64788,0.704,0.48504,1.01708,0.78665,1.04625,0.00118812,0.00118812,0.00118812
7,666.962,1.29906,1.10833,1.23949,0.80237,0.61279,0.6996,0.47892,1.02856,0.87291,1.07009,0.00117575,0.00117575,0.00117575
8,764.921,1.27202,1.07535,1.2244,0.74736,0.64392,0.7093,0.48614,1.10659,0.8474,1.07972,0.00116337,0.00116337,0.00116337
9,865.313,1.25479,1.0389,1.21269,0.75772,0.70621,0.76714,0.53935,0.96737,0.74316,1.03871,0.001151,0.001151,0.001151
10,964.718,1.23291,1.00767,1.20088,0.75782,0.70069,0.74768,0.53083,0.95477,0.71805,1.022,0.00113863,0.00113863,0.00113863
11,1063.97,1.22256,0.97779,1.19673,0.8029,0.65914,0.74717,0.55143,0.92819,0.73622,1.01973,0.00112625,0.00112625,0.00112625
12,1161.89,1.20437,0.96802,1.18201,0.76696,0.72315,0.78243,0.57274,0.92157,0.67811,1.00641,0.00111388,0.00111388,0.00111388
13,1258.56,1.19389,0.92755,1.17945,0.80913,0.72713,0.80409,0.58719,0.91454,0.6812,1.01328,0.0011015,0.0011015,0.0011015
14,1356.75,1.18657,0.91945,1.16831,0.73185,0.71149,0.76256,0.55958,0.93557,0.73162,1.01218,0.00108913,0.00108913,0.00108913
15,1455.01,1.17091,0.90375,1.16143,0.80223,0.74984,0.79928,0.60241,0.88381,0.65693,0.99151,0.00107675,0.00107675,0.00107675
